table,size,rows
ct_records,1.77 GiB, 1000000
ct_records,3.55 GiB, 2000000
ct_records,5.30 GiB, 3000000
ct_records,7.08 GiB, 4000000
ct_records,8.85 GiB, 5000000
ct_records,10.62 GiB, 5998086
ct_records,12.47 GiB, 7046316
ct_records,14.24 GiB, 8046316
ct_records,16.02 GiB, 9046316
ct_records,17.79 GiB, 10046316
ct_records,19.56 GiB, 11046316
ct_records,22.14 GiB, 12501298
ct_records,23.91 GiB, 13501298
ct_records,25.53 GiB, 14414452
