test_name,index,duration_in_ms,size_gb
db.fetch,0,23.43659300095169,1.76 GiB
db.fetch,1,25.020200002472848,1.76 GiB
db.fetch,2,34.645099000044866,1.76 GiB
db.fetch,3,26.614069000061136,1.76 GiB
db.fetch,4,33.12305700092111,1.76 GiB
db.fetch,5,36.026671001309296,1.76 GiB
db.fetch,6,30.909575001714984,1.76 GiB
db.fetch,7,34.13732000262826,1.76 GiB
db.fetch,8,29.537021997384727,1.76 GiB
db.fetch,9,33.29476599901682,1.76 GiB
db.fetch,10,32.21000299890875,1.76 GiB
db.fetch,11,30.538114999217214,1.76 GiB
db.fetch,12,33.506547999422764,1.76 GiB
db.fetch,13,29.740989997662837,1.76 GiB
db.fetch,14,36.44166099911672,1.76 GiB
db.fetch,15,31.02815399688552,1.76 GiB
db.fetch,16,32.99108500141301,1.76 GiB
db.fetch,17,32.89783899890608,1.76 GiB
db.fetch,18,33.28524899916374,1.76 GiB
db.fetch,19,23.724386999674607,1.76 GiB
db.fetch,20,23.203445998660754,1.76 GiB
db.fetch,21,25.237006000679685,1.76 GiB
db.fetch,22,25.49491999889142,1.76 GiB
db.fetch,23,24.096066001220606,1.76 GiB
db.fetch,24,28.824501001508906,1.76 GiB
db.fetch,25,21.50209600222297,1.76 GiB
db.fetch,26,28.192274003231432,1.76 GiB
db.fetch,27,83.01349400062463,1.76 GiB
db.fetch,28,34.01546800159849,1.76 GiB
db.fetch,29,29.864146999898367,1.76 GiB
db.fetch,30,23.04840500073624,1.76 GiB
db.fetch,31,31.6546969988849,1.76 GiB
db.fetch,32,34.347938002611045,1.76 GiB
db.fetch,33,26.189185999101028,1.76 GiB
db.fetch,34,24.273135997646023,1.76 GiB
db.fetch,35,31.956526003341423,1.76 GiB
db.fetch,36,24.087524001515703,1.76 GiB
db.fetch,37,20.138878000580007,1.76 GiB
db.fetch,38,20.50959400003194,1.76 GiB
db.fetch,39,31.06010299961781,1.76 GiB
db.fetch,40,31.123500000830973,1.76 GiB
db.fetch,41,24.250594000477577,1.76 GiB
db.fetch,42,21.980756002449198,1.76 GiB
db.fetch,43,33.70162599821924,1.76 GiB
db.fetch,44,24.243307998403907,1.76 GiB
db.fetch,45,22.569927998119965,1.76 GiB
db.fetch,46,24.387322999245953,1.76 GiB
db.fetch,47,25.11873800176545,1.76 GiB
db.fetch,48,22.23618300195085,1.76 GiB
db.fetch,49,26.63908199974685,1.76 GiB
db.fetch,50,22.866898001666414,1.76 GiB
db.fetch,51,25.295854000432882,1.76 GiB
db.fetch,52,21.287290001055226,1.76 GiB
db.fetch,53,22.53939500224078,1.76 GiB
db.fetch,54,31.32052400178509,1.76 GiB
db.fetch,55,24.75071800290607,1.76 GiB
db.fetch,56,26.36487600102555,1.76 GiB
db.fetch,57,25.446832001762232,1.76 GiB
db.fetch,58,47.54138699718169,1.76 GiB
db.fetch,59,27.958061000390444,1.76 GiB
db.fetch,60,24.81561699823942,1.76 GiB
db.fetch,61,22.815039999841247,1.76 GiB
db.fetch,62,28.40035400004126,1.76 GiB
db.fetch,63,31.837363996601198,1.76 GiB
db.fetch,64,27.837262001412455,1.76 GiB
db.fetch,65,30.54797000004328,1.76 GiB
db.fetch,66,32.21125400159508,1.76 GiB
db.fetch,67,31.43954500046675,1.76 GiB
db.fetch,68,25.6585429997358,1.76 GiB
db.fetch,69,29.05445899887127,1.76 GiB
db.fetch,70,31.573560001561418,1.76 GiB
db.fetch,71,26.086400997883175,1.76 GiB
db.fetch,72,27.55227399757132,1.76 GiB
db.fetch,73,30.19637800025521,1.76 GiB
db.fetch,74,24.35199499814189,1.76 GiB
db.fetch,75,29.374204998021014,1.76 GiB
db.fetch,76,28.181497000332456,1.76 GiB
db.fetch,77,31.63581699845963,1.76 GiB
db.fetch,78,32.76425300282426,1.76 GiB
db.fetch,79,37.023380002210615,1.76 GiB
db.fetch,80,31.32394999920507,1.76 GiB
db.fetch,81,35.639044999697944,1.76 GiB
db.fetch,82,31.215202001476428,1.76 GiB
db.fetch,83,79.26462800242007,1.76 GiB
db.fetch,84,24.126462001731852,1.76 GiB
db.fetch,85,28.131148999818834,1.76 GiB
db.fetch,86,28.16869199887151,1.76 GiB
db.fetch,87,19.70711100148037,1.76 GiB
db.fetch,88,21.106424999743467,1.76 GiB
db.fetch,89,30.1122739983839,1.76 GiB
db.fetch,90,31.06460700291791,1.76 GiB
db.fetch,91,24.97454400145216,1.76 GiB
db.fetch,92,27.053742000134662,1.76 GiB
db.fetch,93,28.742418999172514,1.76 GiB
db.fetch,94,29.08549800122273,1.76 GiB
db.fetch,95,27.873514001839794,1.76 GiB
db.fetch,96,31.586352997692302,1.76 GiB
db.fetch,97,33.174285003042314,1.76 GiB
db.fetch,98,20.66770599776646,1.76 GiB
db.fetch,99,19.706495997525053,1.76 GiB
db.insert,0,17.747937999956775,1.76 GiB
db.insert,1,26.238046997605124,1.76 GiB
db.insert,2,17.73422699989169,1.76 GiB
db.insert,3,18.005922000156716,1.76 GiB
db.insert,4,28.81975000127568,1.76 GiB
db.insert,5,23.42448299896205,1.76 GiB
db.insert,6,15.728943999420153,1.76 GiB
db.insert,7,16.74484699833556,1.76 GiB
db.insert,8,22.728545998688787,1.76 GiB
db.insert,9,16.666700001223944,1.76 GiB
db.insert,10,17.30919100009487,1.76 GiB
db.insert,11,19.19845700103906,1.76 GiB
db.insert,12,24.622492001071805,1.76 GiB
db.insert,13,17.63611999922432,1.76 GiB
db.insert,14,19.685986000695266,1.76 GiB
db.insert,15,18.219647001387784,1.76 GiB
db.insert,16,22.2685900007491,1.76 GiB
db.insert,17,14.91453999915393,1.76 GiB
db.insert,18,16.65147200037609,1.76 GiB
db.insert,19,17.298487000516616,1.76 GiB
db.insert,20,24.38151999740512,1.76 GiB
db.insert,21,17.399753000063356,1.76 GiB
db.insert,22,15.900940998108126,1.76 GiB
db.insert,23,16.660936998960096,1.76 GiB
db.insert,24,22.35409999775584,1.76 GiB
db.insert,25,103.80471600001329,1.76 GiB
db.insert,26,26.05483200022718,1.76 GiB
db.insert,27,22.726757000782527,1.76 GiB
db.insert,28,19.747640999412397,1.76 GiB
db.insert,29,27.49461799976416,1.76 GiB
db.insert,30,22.9990709995036,1.76 GiB
db.insert,31,23.941326999192825,1.76 GiB
db.insert,32,25.346838003315497,1.76 GiB
db.insert,33,22.396578002371825,1.76 GiB
db.insert,34,31.30557700205827,1.76 GiB
db.insert,35,32.13077600230463,1.76 GiB
db.insert,36,27.140944999700878,1.76 GiB
db.insert,37,16.86773599794833,1.76 GiB
db.insert,38,15.368775999377249,1.76 GiB
db.insert,39,18.442838001647033,1.76 GiB
db.insert,40,25.665960001788335,1.76 GiB
db.insert,41,16.58521400167956,1.76 GiB
db.insert,42,19.34066999820061,1.76 GiB
db.insert,43,23.746882001432823,1.76 GiB
db.insert,44,18.11809200080461,1.76 GiB
db.insert,45,17.943237999134,1.76 GiB
db.insert,46,17.532378999021603,1.76 GiB
db.insert,47,17.556327999045607,1.76 GiB
db.insert,48,26.948844999424182,1.76 GiB
db.insert,49,23.994606999622192,1.76 GiB
db.insert,50,62.668037997354986,1.76 GiB
db.insert,51,22.300664000795223,1.76 GiB
db.insert,52,22.513297000841703,1.76 GiB
db.insert,53,24.5795429982536,1.76 GiB
db.insert,54,20.063050000317162,1.76 GiB
db.insert,55,20.355377997475443,1.76 GiB
db.insert,56,29.30302499953541,1.76 GiB
db.insert,57,14.126639998721657,1.76 GiB
db.insert,58,16.94901099835988,1.76 GiB
db.insert,59,18.882960997871123,1.76 GiB
db.insert,60,26.361285999882966,1.76 GiB
db.insert,61,16.52223299970501,1.76 GiB
db.insert,62,18.181960000219988,1.76 GiB
db.insert,63,13.570568000432104,1.76 GiB
db.insert,64,32.399439998698654,1.76 GiB
db.insert,65,14.14203400054248,1.76 GiB
db.insert,66,79.70763299817918,1.76 GiB
db.insert,67,22.905800000444287,1.76 GiB
db.insert,68,29.293974999745842,1.76 GiB
db.insert,69,19.68607399976463,1.76 GiB
db.insert,70,14.503214002616005,1.76 GiB
db.insert,71,14.66565000009723,1.76 GiB
db.insert,72,25.88344700052403,1.76 GiB
db.insert,73,22.33534500192036,1.76 GiB
db.insert,74,16.293986001983285,1.76 GiB
db.insert,75,16.733337000914617,1.76 GiB
db.insert,76,26.01087400034885,1.76 GiB
db.insert,77,28.736222000588896,1.76 GiB
db.insert,78,16.604858999926364,1.76 GiB
db.insert,79,17.6828600015142,1.76 GiB
db.insert,80,26.771223998366622,1.76 GiB
db.insert,81,15.453626998350956,1.76 GiB
db.insert,82,14.901624999765772,1.76 GiB
db.insert,83,15.925660001812503,1.76 GiB
db.insert,84,27.241550000326242,1.76 GiB
db.insert,85,19.74996100034332,1.76 GiB
db.insert,86,17.585542002052534,1.76 GiB
db.insert,87,19.269370000984054,1.76 GiB
db.insert,88,34.11427100218134,1.76 GiB
db.insert,89,22.42562299943529,1.76 GiB
db.insert,90,12.474344999645837,1.76 GiB
db.insert,91,13.877699999284232,1.76 GiB
db.insert,92,24.088194000796648,1.76 GiB
db.insert,93,23.12364500176045,1.76 GiB
db.insert,94,19.661854003061308,1.76 GiB
db.insert,95,17.52807899902109,1.76 GiB
db.insert,96,23.436630002834136,1.76 GiB
db.insert,97,22.52290500109666,1.76 GiB
db.insert,98,20.104152001295006,1.76 GiB
db.insert,99,17.718221999530215,1.76 GiB
db.fetch,0,27.38532299918006,3.53 GiB
db.fetch,1,25.053020999621367,3.53 GiB
db.fetch,2,22.48615099961171,3.53 GiB
db.fetch,3,25.83043800041196,3.53 GiB
db.fetch,4,27.317290998325916,3.53 GiB
db.fetch,5,26.936399000987876,3.53 GiB
db.fetch,6,23.96537800086662,3.53 GiB
db.fetch,7,33.56412399807596,3.53 GiB
db.fetch,8,32.32865600148216,3.53 GiB
db.fetch,9,26.655740999558475,3.53 GiB
db.fetch,10,31.82598599960329,3.53 GiB
db.fetch,11,33.70206399995368,3.53 GiB
db.fetch,12,25.305789997219108,3.53 GiB
db.fetch,13,26.879581997491186,3.53 GiB
db.fetch,14,31.75478399862186,3.53 GiB
db.fetch,15,31.7550219988334,3.53 GiB
db.fetch,16,22.966428001382155,3.53 GiB
db.fetch,17,30.687780999869574,3.53 GiB
db.fetch,18,29.781589000776876,3.53 GiB
db.fetch,19,24.97348000179045,3.53 GiB
db.fetch,20,26.528286001848755,3.53 GiB
db.fetch,21,32.35496399793192,3.53 GiB
db.fetch,22,33.1485939968843,3.53 GiB
db.fetch,23,33.24159000112559,3.53 GiB
db.fetch,24,34.83996700015268,3.53 GiB
db.fetch,25,30.81236199795967,3.53 GiB
db.fetch,26,32.4146560014924,3.53 GiB
db.fetch,27,30.14411399999517,3.53 GiB
db.fetch,28,30.83636200244655,3.53 GiB
db.fetch,29,32.01139999873703,3.53 GiB
db.fetch,30,31.388244999106973,3.53 GiB
db.fetch,31,87.50132500063046,3.53 GiB
db.fetch,32,28.55309599908651,3.53 GiB
db.fetch,33,28.20232500016573,3.53 GiB
db.fetch,34,27.914447997318348,3.53 GiB
