category,test_name,runs,total_duration_in_ms,avg_duration_in_ms
Group Manager,setup & keygen,1000,3111.1707800009754,3.1111707800009754
Group Manager,register provider,1000,1509.029670007294,1.509029670007294
Label Manager,setup & keygen,1000,6.147168023744598,0.006147168023744598
Trace Authority,setup & keygen,1000,113.92905001412146,0.11392905001412146
Label Manager,PRF evaluation,1000,73.50291500915773,0.07350291500915773
Group Manager,sign,1000,1638.9245110040065,1.6389245110040065
Group Manager,verify,1000,2300.6638970109634,2.3006638970109634
Trace Authority,sign,1000,410.4156029934529,0.4104156029934529
Carrier,contribution,1000,4409.9976689904,4.4099976689904
Carrier,trace,1000,1245.1614539895672,1.2451614539895672
